feature,importance
signing,0.07222592
data entry,0.06276778
oil gas,0.042544473
paid vacation,0.028446373
experience required,0.025746373
has_company_logo,0.023160083
shall,0.01466067
hiring process,0.013108992
facilitating,0.012949205
finding,0.01278176
performs,0.012013158
medium,0.011549642
Topic 9,0.011148759
nationwide,0.010876338
encouraged,0.010531014
permanent,0.009772897
family,0.009745685
help develop,0.009503789
administrative,0.0091945855
ensures,0.0090413075
Topic 10,0.008837254
health dental,0.008536666
gas,0.007987273
high school diploma,0.007735663
work home,0.0073939734
recruiting,0.0073272805
door,0.0070485156
control,0.006956194
web,0.0069556534
free,0.006822463
necessary,0.006791524
program,0.006574761
country,0.00653257
retirement,0.0061707213
designed,0.0060078236
school diploma,0.005929297
link,0.005273444
rep,0.0052011893
beneficial,0.0051746476
community,0.005075627
streamline,0.004950696
growing,0.0048586177
developer,0.0048570354
internet,0.004842854
product service,0.004697109
inquiry,0.0046625254
pm,0.004636146
agent,0.004546994
real estate,0.004542566
leveraging,0.004478049
incoming,0.0043536765
maximum,0.004326189
price,0.0042277803
hotel,0.0041966345
written communication,0.0041102166
income,0.003878642
accuracy,0.0038002464
worth,0.0036308442
website,0.0036237019
wage,0.0035832636
answer,0.0035685727
phone,0.0035568213
passionate,0.0035292287
calling,0.003365649
line,0.003167062
applicable,0.0029221503
preparation,0.0028969136
flexible,0.0028755234
user,0.0028455139
technology,0.0028276409
possess,0.0028059809
manner,0.0027092928
driver,0.0026993053
minute,0.002668388
fun,0.0026380613
billing,0.002614369
company looking,0.002598821
excel,0.0025972533
small business,0.0025759074
modeling,0.0025599077
english,0.0025394703
creative,0.0024846382
money,0.002481854
secure,0.0024704027
chemical,0.0024005412
engineering,0.0023387198
right,0.002310506
offshore,0.0023003237
needed,0.0022378527
buy,0.0022136406
university,0.0021974063
clerical,0.0021867796
clerk,0.0021725197
monthly,0.0021594192
making,0.002126888
earn,0.0021005543
amp,0.002091771
qualified,0.0020902187
required,0.002076076
send,0.0020618138
learn,0.002057734
focused,0.0020363245
thinking,0.0020263668
home,0.0020233253
work life,0.0020146808
contribution,0.0020122987
highest,0.0020090737
mobile,0.0020056898
vp,0.0020043536
purchase,0.0019721338
automotive,0.0019711603
offering,0.0019405027
solving,0.0019300455
has_questions,0.00191392
help,0.001907832
seeking,0.0019045091
attention,0.0018717188
supply,0.0018492937
client,0.0018473214
effort,0.0018372505
communication,0.0018358555
benefit,0.0018026939
startup,0.0017747247
national,0.0017742349
minimal supervision,0.0017145999
email,0.0017114169
high school,0.001703312
digital,0.001662279
high level,0.0016069155
proficient,0.0015959423
term,0.0015766482
non,0.0015719094
essential,0.0015717391
title_processed_urgency_score,0.0015466177
helpful,0.0015396331
customer,0.001530035
consulting,0.0014997647
contractor,0.0014952358
provide,0.0014906226
successful,0.0014890102
referral,0.0014818617
degree,0.0014818348
shift,0.0014771501
daily basis,0.0014573204
valid,0.0014547067
high,0.0014487238
medical,0.0014381608
search,0.0013911993
software,0.0013910711
project management,0.0013574127
microsoft office,0.0013459612
know,0.0013334113
routine,0.0013229848
oil,0.0013152772
aptitude,0.0013120075
commission,0.0013065
limited,0.0012999816
exceptional,0.0012786702
delivery,0.0012565925
career,0.0012557162
forward,0.0012440397
monday,0.0012423614
founded,0.0012399001
public,0.0012279334
combined,0.0012244398
contract,0.0011946632
manager,0.001191194
apply,0.0011896255
based,0.001174918
service,0.0011647327
industry,0.0011600996
achieve,0.0011447064
supplier,0.0011214887
love,0.0011210975
new,0.0011153867
like,0.0011130233
disability,0.0011090016
type,0.0011004471
exceed,0.0010936074
entrepreneurial,0.0010872638
estimate,0.0010806163
customer service,0.0010543308
information,0.00104814
market,0.0010464825
skill,0.0010400523
submit resume,0.0010381783
management,0.0010276613
custom,0.0010151294
sale,0.0010131078
experience,0.0010109717
perk,0.0010076936
preferred,0.0010045756
assist,0.0009910692
duty,0.0009823974
reward,0.00096378685
maintains,0.00096044544
efficient,0.0009567776
open,0.0009529938
specialist,0.00094855897
recruitment,0.00094268494
oriented,0.0009408551
network,0.00093662296
admin,0.0009320316
description_length,0.00092690875
environment,0.00092162495
job,0.00091429753
scalable,0.00091331324
develops,0.0009033953
excellent communication,0.00089751586
position,0.0008958221
area,0.0008953838
delivering,0.00089489314
discount,0.0008825174
opportunity,0.00087635114
paid,0.0008715383
time,0.0008651208
physical,0.0008581075
dollar,0.00085654337
agency,0.0008519392
understand,0.0008506656
motivated,0.000847107
multi,0.00083975325
efficiency,0.0008341463
background,0.00082904764
international,0.0008185348
able,0.00081698457
gathering,0.00079497223
looking,0.0007904843
assistant,0.0007867526
offer competitive,0.00078647956
cross,0.0007808576
make,0.00077651883
candidate,0.00076485565
year,0.0007646264
highly,0.0007598362
worked,0.00075653556
expanding,0.0007539366
target,0.00074576546
working,0.00074052357
available,0.0007307354
analysis,0.00072874455
hire,0.00072231895
rate,0.00071158976
compensation package,0.00070810184
data,0.0007053187
starter,0.0007028945
ideal candidate,0.00070062035
requirement,0.0006947263
problem,0.000689284
lift,0.00067640515
telephone,0.00067611283
description,0.00067425566
managing,0.0006740567
enterprise,0.0006681063
deployment,0.0006658707
company,0.0006652733
corporate,0.0006630676
hard,0.0006629351
problem solving,0.0006624142
typical,0.000661345
professional,0.0006586482
associate,0.00065725745
report,0.00065701123
staff,0.00064939616
revenue,0.0006487284
project,0.0006473553
building,0.0006451172
holiday,0.0006436118
need,0.0006433417
good,0.0006383637
friendly,0.00063071895
development,0.0006287489
internal external,0.0006283734
vision,0.0006279995
supporting,0.00062714267
sql,0.0006145212
operating,0.00060947717
experienced,0.0006047622
major,0.00060215616
basic,0.0006012199
hour,0.0005921384
enthusiastic,0.00058828725
individual,0.0005808862
person,0.0005805804
operation,0.00058012985
entry,0.0005769072
director,0.0005765884
people,0.00056785974
employee,0.0005671077
near,0.0005651227
art,0.0005637062
various,0.00056347036
size,0.00056168286
key,0.0005595358
way,0.00055867893
communication skill,0.0005400511
fast,0.0005391767
package,0.00053578685
plus,0.00053371495
guide,0.0005310124
organization,0.0005271659
require,0.00052367034
following,0.0005200685
agile,0.0005197424
london,0.00051827193
topic,0.0005159152
class,0.000512559
competitive,0.0005125236
record,0.000510267
previous,0.00050883234
order,0.00050585176
model,0.0005057564
word,0.00050242216
weekly,0.00050186616
qualified candidate,0.0005008742
life,0.00049973995
team,0.000493993
trend,0.0004916175
interested,0.00048917276
computer,0.00048623423
expected,0.00048569293
want,0.0004759926
ideal,0.00047584955
health,0.00047408667
business,0.00047338317
knowledge,0.00047326292
global,0.0004703341
week,0.00046443622
using,0.00046255835
dedicated,0.00045849598
hiring,0.00045829438
balance,0.00045709102
care,0.00045384586
work,0.00043938676
place,0.00043908213
verbal,0.00043317903
including,0.00042866662
quality,0.00042380893
bonus,0.0004225244
research,0.000417958
active,0.00040414033
insurance,0.00040129156
salary,0.0003981156
drug,0.0003968895
mid,0.0003905319
application,0.00038929717
qualification,0.0003881486
ability,0.00038486137
relevant,0.00038351957
independent,0.00037926322
desire,0.00037759804
leader,0.00037683122
work fast,0.00037460573
office,0.00037025093
reliable,0.0003698828
role,0.00036843462
process,0.00036727724
include,0.00036403243
decision,0.0003633371
month,0.0003621946
fit,0.00036198553
currently,0.00035658953
telecommunication,0.0003553275
general,0.0003522433
strong,0.00034626084
customer satisfaction,0.00034566238
current,0.00034509983
tech,0.0003355192
additional,0.00033489428
clean,0.0003328783
united,0.0003328376
serve,0.0003310413
representative,0.00032882622
support,0.0003254632
task,0.00032081117
follow,0.0003171187
supervision,0.00031208785
willingness,0.00031101643
start,0.00031075726
offer,0.00030865835
computer science,0.00030638496
partner,0.00030633356
today,0.00030226115
providing,0.0003016942
work independently,0.0003002039
finance,0.0002963531
dental,0.00029394863
review,0.00028925078
remain,0.0002867004
basis,0.00028271214
small,0.00027741733
personable,0.0002773376
analyst,0.00027604858
manage,0.00027378337
design,0.00027068934
level,0.00026698955
understanding,0.00026341854
online,0.00026184242
marketing,0.00026145036
period,0.0002606695
technical,0.00026046697
board,0.00025932584
option,0.0002584758
direct,0.00025803037
excellent,0.00025626144
certified,0.00025516166
pay,0.00025164886
food,0.00025049242
access,0.0002496992
ensure,0.00024785908
long term disability,0.00023972978
oral,0.00023887776
specification,0.0002348228
create,0.00023403946
minimum,0.0002326233
performance,0.00023216105
accounting,0.00022979049
contact,0.00022833025
complete,0.0002264492
assisting,0.00022609584
focus,0.00022401437
applicant,0.00022206234
writing,0.00022102133
training,0.00022026061
policy,0.00021555419
related,0.00021495236
requires,0.00020892796
possible,0.00020760925
tool,0.00020721997
schedule,0.00020393968
engineer,0.000199958
field,0.00019888314
solution,0.00019709667
group,0.0001956192
account,0.00019165101
product,0.00019135649
variety,0.0001912345
provides,0.00018839152
standard,0.00017832308
driven,0.00017654605
receive,0.00016697819
identify,0.00016117019
meet,0.00016090866
check,0.00015337416
store,0.00015119849
leading,0.00014662037
department,0.00013350503
education,0.00013120504
great,0.00012960519
responsibility,0.00012606186
equivalent,0.000119893084
colleague,0.00011390934
change,0.000105497376
skill ability,9.955797e-05
feel,8.033636e-05
success,7.0505215e-05
written,5.9340164e-05
typing,5.9148566e-05
nursing,4.9834445e-05
long,3.87746e-05
opening,3.101981e-05
able work,2.0478506e-05
Topic 8,7.054698e-06
preferably,0.0
phone email,0.0
php,0.0
photoshop illustrator,0.0
pre conflict conflict,0.0
pre employment drug,0.0
pre employment,0.0
phase,0.0
philosophy,0.0
photo,0.0
world drive,0.0
perspective,0.0
prefer,0.0
precise,0.0
photoshop,0.0
position include,0.0
workload,0.0
personnel,0.0
preferred year,0.0
premier,0.0
permanent position,0.0
premise,0.0
premium,0.0
world drive business,0.0
working team,0.0
period time,0.0
working relationship,0.0
prepare,0.0
prepared,0.0
world goal,0.0
performing multiple functional,0.0
performing multiple,0.0
performing,0.0
preferred required,0.0
permanent position medium,0.0
permanent position working,0.0
preferred necessarycanada,0.0
personally,0.0
preference,0.0
preferred experience,0.0
personalized,0.0
personality,0.0
preferred experience running,0.0
physician,0.0
preferred necessarypositive attitude,0.0
preferred necessarycanada passport,0.0
personal sick,0.0
preferred necessarypositive,0.0
personal professional,0.0
personal,0.0
